Winery,ABC #,Year,2022     BOY Inventory,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Totals,Monthly Avg.,Months Left,Tasting Room EOY,Remaining Inventory,Year_1,Wine,BOY Inventory,Bottling
Pearmund,30306,2015,165,7,63,0,0,0,0,0,2,1,1,0,0,74,6,15,0,91,2015,Vin de Sol,,
Pearmund,57630,2017,93,9,28,19,29,8,0,0,0,0,0,0,0,93,19,0,0,0,2017,Chardonnay,,
Pearmund,135370,2017,64,13,9,9,6,8,5,5,6,3,0,0,0,64,7,0,0,0,2017,Petit Verdot Reserve,,
Pearmund,137517,2017,41,1,2,5,1,4,5,2,1,5,4,3,1,34,3,3,2,9,2017,Tugs Cuvee,,
Pearmund,57630,2018,360,27,1,3,2,29,28,21,29,34,28,64,30,296,25,3,6,70,2018,Chardonnay,,
Pearmund,133688,2018,200,20,32,26,27,19,22,10,22,22,0,0,0,200,22,0,0,0,2018,Cab Franc,,
Pearmund,27736,2018,319,0,0,0,8,101,26,53,55,27,49,0,0,319,32,0,0,0,2018,Petit Verdot,,
Pearmund,135371,2018,228,12,23,18,13,15,13,13,12,14,14,20,12,179,15,3,2,51,2018,Cab Sauv Reserve,,
Pearmund,22921,2018,578,43,83,48,28,42,35,25,37,21,33,50,41,486,41,2,4,96,2018,Ameritage ,,
Pearmund,137519,6th Mission,311,25,45,18,33,66,21,29,68,6,0,0,0,311,35,0,0,0,6th Mission,Black Ops,,
Pearmund,152192,0,202,10,79,29,16,68,0,0,0,0,0,0,0,202,40,0,0,0,2019,Cameo Rose,,
Pearmund,151516,2019,149,2,36,9,9,11,16,9,22,21,13,1,0,149,14,0,0,0,2019,Palindrome,,
Pearmund,57632,2019,414,17,22,15,30,60,30,19,26,25,25,27,19,315,26,4,4,103,2019,Viognier,,
Pearmund,57630,2019,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,2019,Chardonnay,,
Pearmund,22384,2019,153,9,19,14,9,11,2,11,8,11,14,17,21,146,12,1,4,11,2019,Merlot,,
Pearmund,133688,2019,640,2,0,1,0,0,0,0,0,0,41,70,36,150,13,40,5,495,2019,Cab Franc,,
Pearmund,133687,2019,259,10,12,8,7,18,7,6,7,14,12,20,12,133,11,12,2,128,2019,Cab Franc Rederve,,
Pearmund,27736,2019,296,19,21,45,28,37,18,13,12,16,18,32,20,279,23,1,4,21,2019,Petit Verdot,,
Pearmund,135371,2019,78,3,0,2,0,0,0,0,0,0,0,0,0,5,0,175,0,73,2019,Cab Sauv Reserve,,
Pearmund,22921,2019,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,2019,Ameritage ,,
Pearmund,168932,7th Mission,806,10,1,10,0,0,0,0,0,57,47,113,44,282,24,22,4,528,7th Mission,Black Ops,,
Pearmund,SPRKLG19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sparlking,,
Pearmund,11198,2020,180,16,16,26,23,33,35,23,8,0,0,0,0,180,23,0,0,0,2020,Petit Manseng,,
Pearmund,57632,2020,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,2020,Viognier,,
Pearmund,57630,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Chardonnay,,
Pearmund,34641,2020,393,4,0,22,0,0,0,0,0,0,0,31,21,78,7,49,2,317,2020,AMR,,
Pearmund,133688,2020,398,11,0,2,1,0,0,0,0,0,0,0,0,14,1,329,0,384,2020,Cab Franc,,
Pearmund,133687,2020,236,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1404,0,234,2020,Cab Franc Rederve,,
Pearmund,27736,2020,322,0,0,12,10,0,0,0,0,0,0,0,0,22,2,164,0,300,2020,Petit Verdot,,
Pearmund,135370,2020,288,15,0,6,1,0,0,0,0,0,0,0,0,22,2,145,0,266,2020,PVR,,
Pearmund,135371,2020,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,2020,Cab Sauv Reserve,,
Pearmund,133687,2020,666,2,0,2,0,0,0,0,0,0,0,0,0,4,0,1986,0,662,2020,Ameritage ,,
Pearmund,168932,8th Mission,599,5,0,0,0,0,0,0,0,0,0,0,0,5,0,1426,0,594,8th Mission,Black Ops,,
Pearmund,SPRKLG20,0,33,7,11,0,8,7,0,0,0,0,0,0,0,33,7,0,0,0,0,Sparlking,,
Pearmund,11198,2021,426,0,0,44,2,0,0,2,15,21,15,23,17,139,14,21,5,292,2021,Petit Manseng,,
Pearmund,168933,2021,222,0,0,0,0,8,5,24,50,19,13,18,12,149,19,4,3,76,2021,Sunshine,,
Pearmund,168933,2021,127,0,0,0,35,90,2,0,0,0,0,0,0,127,42,0,0,0,2021,Sunshing - 1.5L bags,,
Pearmund,57632,2021,253,0,0,0,0,0,0,0,0,0,0,0,13,13,2,111,0,240,2021,Viognier,,
Pearmund,57630,2021,306,0,0,0,0,0,0,0,0,0,0,0,16,16,3,109,0,290,2021,Chardonnay,,
Pearmund,111575,2021,473,0,0,0,0,11,26,17,20,14,9,17,10,124,16,23,5,354,2021,Rose,,
